participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.IRB,player.type,player.Q1,player.Q2,player.Q3,player.Q4,player.money_after_wage,player.firms_offer_accepted,player.worker_has_accepted_offer,player.wage_paid,player.transaction_number,player.wage,player.firms_worker_id,player.bid_number,player.number_of_offers_in_round,player.previous_wage,player.previous_bid_number,player.worker_selected_effort,player.worker_effort_level,player.firm_effort_level,player.binary_effort_level,player.effort_cost,player.ECU_payoff,player.ECU_payoff_total,player.accepted_highest_offer,player.bid_placement_of_accepted_offer,player.time_offered,player.time_bought,player.time_to_bought,player.time_to_effort,player.effort_start_time,player.auction_start_time,player.Instructions_Page_Number,player.wrong_string,player.previous_answers,player.worker_has_selected_effort,player.USD_payoff,player.USD_payoff_with_showup,player.First_Name,player.Last_Name,player.has_given_info,player.round_1_payoff,player.round_2_payoff,player.round_3_payoff,player.round_4_payoff,player.round_5_payoff,player.round_6_payoff,player.round_7_payoff,player.round_8_payoff,player.round_9_payoff,player.round_10_payoff,player.round_11_payoff,player.round_12_payoff,group.id_in_subsession,group.bid_number,group.transaction_number,group.highest_bid,group.wage_temp,group.bid_2,group.bid_3,group.bid_4,group.bid_5,group.bid_6,group.group_round_number,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,q0ls0pc3,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,343,1,Worker,0,1,0,0,12,30,64,,0,0,0,0,-1,0,-185,0,,,0,0,0,,0,,0,0,,,,,,1757438857,1757438796,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
2,0fhffl1x,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,369,2,Firm,0,1,0,0,12,30,64,,0,0,0,0,50,0,1,1,,-185,0,0,0,,0,,0,0,,3.501907587,,,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
3,cacvmkz5,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,437,3,,0,1,0,0,12,30,64,,1,0,0,2,60,6,4,2,,2,0,0,0,,0,,0,0,,43.7465961,48.79304004,5.046443939,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
4,urz8l5hw,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,349,4,,0,1,0,0,12,30,64,,1,0,0,1,60,8,3,1,,-185,0,0,0,,0,,0,0,,31.85305905,32.65683579,0.803776741,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
5,8nctjebg,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,40,5,,0,1,1,0,12,30,64,,0,0,0,0,-1,0,-185,0,,,0,0,0,,0,,0,0,,,,,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
6,qzvgdryu,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,60,6,,0,1,1,0,12,30,64,,0,1,60,2,-1,0,-185,0,,,0,0,0,,0,,0,1,1,,,,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
7,joe72x0i,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,79,7,,0,1,1,0,12,30,64,,0,0,0,0,-1,0,-185,0,,,0,0,0,,0,,0,0,,,,,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
8,m1aq2zo8,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,96,8,,0,1,1,0,12,30,64,,0,1,60,1,-1,0,-185,0,,,0,0,0,,0,,0,1,1,,,,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
9,cbcvki3x,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.6,1,,,88,9,,0,1,1,0,12,30,64,,0,0,0,0,-1,0,-185,0,,,0,0,0,,0,,0,0,,,,,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
10,9ify4f6u,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.6,1,,,71,10,,0,1,1,0,12,30,64,,0,0,0,0,-1,0,-185,0,,,0,0,0,,0,,0,0,,,,,,1757438857,1757438797,1,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,50,,0,0,0,0,0,0,1,n7xj2r3e,,,,,0
1,q0ls0pc3,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,343,1,Worker,21,0,0,,,,,,1,0,0,1,55,5,2,1,,-185,0,0,0.3,Regular,0,21,21,0,,2.073156118,4.388226271,2.315070152,,1757439046,1757438986,1,,,0,0.84,7.84,,,0,21,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,1,2,n7xj2r3e,,,,,0
2,0fhffl1x,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,369,2,Firm,23,0,0,,,,,,1,0,0,4,50,9,1,1,,-185,0,0,0.3,Regular,0,23,23,0,,1.697704315,19.11969161,17.4219873,,1757439046,1757438986,1,,,0,0.92,7.92,,,0,23,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,1,2,n7xj2r3e,,,,,0
3,cacvmkz5,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,437,3,,21,0,0,,,,,,1,0,0,3,55,8,4,1,,-185,0,0,0.3,Regular,0,21,21,0,,9.824260712,11.12366819,1.299407482,,1757439046,1757438986,1,,,0,0.84,7.84,,,0,21,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,1,2,n7xj2r3e,,,,,0
4,urz8l5hw,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,349,4,,20,0,0,,,,,,1,0,0,2,60,7,3,1,,-185,0,0,0.3,Regular,0,20,20,0,,7.411852121,8.210629225,0.798777103,,1757439046,1757438986,1,,,0,0.8,7.8,,,0,20,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,1,2,n7xj2r3e,,,,,0
5,8nctjebg,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,40,5,,27,0,1,,,,,,0,1,55,1,-1,0,-185,0,,,1,0.3,0,Regular,0,27,27,1,1,,,,5.041198254,1757439046,1757438986,1,,,0,1.08,8.08,,,0,27,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,1,2,n7xj2r3e,,,,,0
6,qzvgdryu,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,60,6,,0,0,1,,,,,,0,0,0,0,-1,0,-185,0,,,0,0,0,,0,0,0,0,,,,,,1757439047,1757438986,1,,,0,0,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,1,2,n7xj2r3e,,,,,0
7,joe72x0i,,0,156,156,Gift_Exchange_Baseline,Experiment_End,54:18.5,1,,,79,7,,32,0,1,,,,,,0,1,60,2,-1,0,-185,0,,,1,0.3,0,Regular,0,32,32,1,1,,,,8.851353168,1757439047,1757438986,1,,,0,1.28,8.28,,,0,32,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,,0,0,0,0,0,1,2,n7xj2r3e,,,,,0
